New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Subject - Main,Subject - Additional,Printed,(Do not include),Document Notes,Editors' Notes,Condition - Conservation Survey
36 r - 36 r,,Parchment,Latin,486,,"archdeaconry, Cleveland",Election,"of abbot, confirmation of",,,,,
36 r - 36 v,,Parchment,Latin,487,,"archdeaconry, Cleveland",Benediction,"document rel to receipt of, from alien bishop (notarial instrument)",,,,,
36 v - 36 v,,Parchment,Latin,488,,"archdeaconry, Cleveland",Benediction,"permission for abbot, to receive, from alien bishops",,,,,
36 v - 36 v,,Parchment,Latin,489,,"archdeaconry, Cleveland",Submission,"to abbot, order to prior and convent for",,,,,
36 v - 36 v,,Parchment,Latin,490,,"archdeaconry, Cleveland",Installation,"of abbot, mandate for",,,,,
36 v - 36 v,,Parchment,Latin,491,,"archdeaconry, Cleveland",Temporalities,"of abbot, archbishop's request to king rel to",,,,,
36 v - 36 v,,Parchment,Latin,492,,"archdeaconry, Cleveland",Obedience,"of abbot, oath of",,,,,
36 v - 36 v,,Parchment,Latin,493,,"archdeaconry, Cleveland",Institution,of rector,,,,,
37 r - 37 r,,Parchment,Latin,494,,"archdeaconry, Cleveland",Induction,to rectory,,,,,
37 r - 37 r,,Parchment,Latin,495,,"archdeaconry, Cleveland",Oath,of rector,,,,,
37 r - 37 r,,Parchment,Latin,496,,"archdeaconry, Cleveland",Inventory,order to take (goods of intestate),,,,,
37 r - 37 r,,Parchment,Latin,497,,"archdeaconry, Cleveland",Resignation,from moiety of rectory (notarial instrument),,,,,
37 r - 37 r,,Parchment,Latin,498,,"archdeaconry, Cleveland",Institution,of rector (moiety),,,,,
37 v - 37 v,,Parchment,Latin,499,,"archdeaconry, Cleveland",Induction,of rector (moiety),,,,,
37 v - 37 v,,Parchment,Latin,500,,"archdeaconry, Cleveland",Absence,"licence for, for one year",,,,,
37 v - 37 v,,Parchment,Latin,501,,"archdeaconry, Cleveland",Study,"licence for absence to, for three years, at a studium generale in England",,,,,
37 v - 37 v,,Parchment,Latin,502,,"archdeaconry, Cleveland",Enclosure,"of anchoress, in parish church house, licence for",,,,,
37 v - 37 v,,Parchment,Latin,503,,"archdeaconry, Cleveland",Absence,"licence for, for two years",,,,,
37 v - 37 v,,Parchment,Latin,504,,"archdeaconry, Cleveland",Dispensation,"for absence, for three years, for orders higher than subdeacon, under order 'cum ex eo'",,,,,
37 v - 37 v,,Parchment,Latin,505,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
37 v - 37 v,,Parchment,Latin,506,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
37 v - 37 v,,Parchment,Latin,507,,"archdeaconry, Cleveland",Institution,of rector,,,,,
37 v - 37 v,,Parchment,Latin,508,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
37 v - 37 v,,Parchment,Latin,509,,"archdeaconry, Cleveland",Institution,of rector,,,,,
37 v - 37 v,,Parchment,Latin,510,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
37 v - 37 v,,Parchment,Latin,511,,"archdeaconry, Cleveland",Absence/Non-residence,"licence for, for three years",,,,,
38 r - 38 r,,Parchment,Latin,512,,"archdeaconry, Cleveland",Collation,to chantry,,,,,
38 r - 38 r,,Parchment,Latin,513,,"archdeaconry, Cleveland",Induction,"of chantry chaplain, mandate for",,,,,
38 r - 38 r,,Parchment,Latin,514,,"archdeaconry, Cleveland",Institution,of rector,,,,,
38 r - 38 r,,Parchment,Latin,515,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
38 r - 38 v,,Parchment,Latin,516,,"archdeaconry, Cleveland",Visitation,"clergy and people, archdeaconry of Cleveland, order rel to",,,,,
38 v - 38 v,,Parchment,Latin,517,,"archdeaconry, Cleveland",Institution,of rector,,,,,
38 v - 38 v,,Parchment,Latin,518,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
38 v - 38 v,,Parchment,Latin,519,,"archdeaconry, Cleveland",Absence/Non-residence,"licence for, for three years, ",,,,,
38 v - 38 v,,Parchment,Latin,520,,"archdeaconry, Cleveland",Resignation,,,,,,
38 v - 38 v,,Parchment,Latin,521,,"archdeaconry, Cleveland",Absence/Non-residence,"licence for, for two years",,,,,
38 v - 38 v,,Parchment,Latin,522,,"archdeaconry, Cleveland",Institution,of rector,,,,,
38 v - 38 v,,Parchment,Latin,523,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
38 v - 39 r,,Parchment,Latin,524,,"archdeaconry, Cleveland",Exchange,,,,,,
39 r - 39 r,,Parchment,Latin,525,,"archdeaconry, Cleveland",Institution,of rector,,,,,
39 r - 39 r,,Parchment,Latin,526,,"archdeaconry, Cleveland",Institution,of rector (moiety),,,,,
39 r - 39 r,,Parchment,Latin,527,,"archdeaconry, Cleveland",Induction,"of rector (moiety), mandate for",,,,,
39 r - 39 r,,Parchment,Latin,528,,"archdeaconry, Cleveland",Institution,of rector,,,,,
39 r - 39 r,,Parchment,Latin,529,,"archdeaconry, Cleveland",Collation,of rector,,,,,
39 r - 39 r,,Parchment,Latin,530,,"archdeaconry, Cleveland",Institution,of rector,,,,,
39 r - 39 v,,Parchment,Latin,531,,"archdeaconry, Cleveland",Indulgence,for woman who strayed from faith,,,,,
39 v - 39 v,,Parchment,Latin,532,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
39 v - 39 v,,Parchment,Latin,533,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
39 v - 39 v,,Parchment,Latin,534,,"archdeaconry, Cleveland",Procurations,"acquittance for, from bishop to abbot and convent",,,,,
39 v - 39 v,,Parchment,Latin,535,,"archdeaconry, Cleveland",Chantry priest,licence to??,,,,,
39 v - 39 v,,Parchment,Latin,536,,"archdeaconry, Cleveland",Synod,licence not to attend?,,,,,
39 v - 39 v,,Parchment,Latin,537,,"archdeaconry, Cleveland",Surrender,to abbot and convent???,,,,,
39 v - 39 v,,Parchment,Latin,538,,"archdeaconry, Cleveland",Release,"of chaplain, during pleasure???",,,,,
39 v - 39 v,,Parchment,Latin,539,,"archdeaconry, Cleveland",Absence,"licence for, for one year",,,,,
39 v - 39 v,,Parchment,Latin,540,,"archdeaconry, Cleveland",Absence,"licence for, for three years, also to set fruits of church at farm and not to attend synod",,,,,
39 v - 39 v,,Parchment,Latin,541,,"archdeaconry, Cleveland",Absence,"licence for, to serve king",,,,,
39 v - 39 v,,Parchment,Latin,542,,"archdeaconry, Cleveland",Absence,"licence for, to serve king",,,,,
40 r - 40 r,,Parchment,Latin,543,,"archdeaconry, Cleveland",Institution,of rector,,,,,Obscured text - folds/damage
40 r - 40 r,,Parchment,Latin,544,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,Obscured text - folds/damage
40 r - 40 r,,Parchment,Latin,545,,"archdeaconry, Cleveland",Inquisition,"order to enquire into and certify (report on?) the 'life and conversation' (?morals) of clerk, rel to purgation?",,,,,Obscured text - folds/damage
40 r - 40 r,,Parchment,Latin,546,,"archdeaconry, Cleveland",?,Mandatum ad faciendum publicas proclamationes citando quos voluerunt obiecere contra purgationem (clerk as in 527),,,,,Obscured text - folds/damage
40 r - 40 r,,Parchment,Latin,547,,"archdeaconry, Cleveland",Exchange,commission to expedite,,,,,Obscured text - folds/damage
40 r - 40 r,,Parchment,Latin,548,,"archdeaconry, Cleveland",Absence,"licence for, for two years",,,,,Obscured text - folds/damage
40 r - 40 r,,Parchment,Latin,549,,"archdeaconry, Cleveland",Inquisition,"order for, into fruits and issues of appropriated parish church, and portions assigned to vicar",,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,550,,"archdeaconry, Cleveland",Citation,"order for, of prior and convent, for detention/occupation of parish churches",,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,551,,"archdeaconry, Cleveland",Surrender,"of parish churches, by abbot and convent of Whitby",,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,552,,"archdeaconry, Cleveland",Vacated entry,,,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,553,,"archdeaconry, Cleveland",Institution,of vicar,,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,554,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,555,,"archdeaconry, Cleveland",Institution,of rector,,,,,Obscured text - folds/damage
40 v - 40 v,,Parchment,Latin,556,,"archdeaconry, Cleveland",Absence,"licence for, for two years",,,,,Obscured text - folds/damage
41 r - 41 r,,Parchment,Latin,557,,"archdeaconry, Cleveland",Retirement,"of prioress, commission to allow and to proceed to election of new prioress",,,,,
41 r - 41 r,,Parchment,Latin,558,,"archdeaconry, Cleveland",Absence,"licence for, during pleasure",,,,,
41 r - 41 r,,Parchment,Latin,559,,"archdeaconry, Cleveland",Vacated entry,institution of rector,,,,,
41 r - 41 r,,Parchment,Latin,560,,"archdeaconry, Cleveland",Vacated entry,induction to rectory,,,,,
41 r - 41 r,,Parchment,Latin,561,,"archdeaconry, Cleveland",Institution,of rector,,,,,
41 r - 41 r,,Parchment,Latin,562,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
41 r - 41 r,,Parchment,Latin,563,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
41 r - 41 r,,Parchment,Latin,564,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
41 r - 41 r,,Parchment,Latin,565,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
41 r - 41 r,,Parchment,Latin,566,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
41 v - 41 v,,Parchment,Latin,567,,"archdeaconry, Cleveland",Institution,of chantry chaplain,,,,,
41 v - 41 v,,Parchment,Latin,568,,"archdeaconry, Cleveland",Induction ,of chantry chaplain,,,,,
41 v - 41 v,,Parchment,Latin,569,,"archdeaconry, Cleveland",Absence/Non-residence,"licence for, for two year, in the service of the duke of Lancaster",,,,,
41 v - 41 v,,Parchment,Latin,570,,"archdeaconry, Cleveland",Institution,of rector,,,,,
41 v - 41 v,,Parchment,Latin,571,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
41 v - 41 v,,Parchment,Latin,572,,"archdeaconry, Cleveland",Resignation,of rector,,,,,
41 v - 41 v,,Parchment,Latin,573,,"archdeaconry, Cleveland",Institution,of rector,,,,,
41 v - 41 v,,Parchment,Latin,574,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
41 v - 41 v,,Parchment,Latin,575,,"archdeaconry, Cleveland",Exchange,,,,,,
41 v - 41 v,,Parchment,Latin,576,,"archdeaconry, Cleveland",Institution,of rector,,,,,
41 v - 41 v,,Parchment,Latin,576,,"archdeaconry, Cleveland",Induction,of rector,,,,,
42 r - 42 r,,Parchment,Latin,577,,"archdeaconry, Cleveland",Institution,of rector,,,,,
42 r - 42 r,,Parchment,Latin,578,,"archdeaconry, Cleveland",Induction ,"of rector, mandate for",,,,,
42 r - 42 r,,Parchment,Latin,579,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
42 r - 42 r,,Parchment,Latin,580,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
42 r - 42 r,,Parchment,Latin,581,,"archdeaconry, Cleveland",Institution,of rector,,,,,
42 r - 42 r,,Parchment,Latin,582,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
42 r - 42 r,,Parchment,Latin,583,,"archdeaconry, Cleveland",Institution,of rector,,,,,
42 r - 42 r,,Parchment,Latin,584,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
42 r - 42 r,,Parchment,Latin,585,,"archdeaconry, Cleveland",Induction,of vicar,,,,,
42 r - 42 r,,Parchment,Latin,586,,"archdeaconry, Cleveland",Institution,of rector,,,,,
42 r - 42 r,,Parchment,Latin,587,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
42 r - 42 r,,Parchment,Latin,588,,"archdeaconry, Cleveland",Institution,of rector,,,,,
42 r - 42 r,,Parchment,Latin,589,,"archdeaconry, Cleveland",Institution,of rector (moiety),,,,,
42 r - 42 r,,Parchment,Latin,590,,"archdeaconry, Cleveland",Induction,"of rector (moiety), mandate for",,,,,
42 v - 42 v,,Parchment,Latin,591,,"archdeaconry, Cleveland",Induction,of vicar,,,,,
42 v - 42 v,,Parchment,Latin,592,,"archdeaconry, Cleveland",Dispensation,"to rector, for non-residence for seven years",,,,,
42 v - 42 v,,Parchment,Latin,593,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
42 v - 42 v,,Parchment,Latin,594,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
42 v - 43 r,,Parchment,Latin,595,,"archdeaconry, Cleveland",Vacancy,"of church, report? on inquisition rel to",,,,,
43 r - 43 r,,Parchment,Latin,596,,"archdeaconry, Cleveland",Institution,of chantry chaplain,,,,,
43 r - 43 r,,Parchment,Latin,597,,"archdeaconry, Cleveland",Induction,"of chantry chaplain, mandate for",,,,,
43 r - 43 r,,Parchment,Latin,598,,"archdeaconry, Cleveland",Induction,of rector,,,,,
43 r - 43 r,,Parchment,Latin,599,,"archdeaconry, Cleveland",Unfinished entry,,,,,,
43 r - 43 r,,Parchment,Latin,600,,"archdeaconry, Cleveland",Institution,of rector,,,,,
43 r - 43 r,,Parchment,Latin,601,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
43 r - 43 r,,Parchment,Latin,602,,"archdeaconry, Cleveland",Institution,of rector,,,,,
43 r - 43 r,,Parchment,Latin,603,,"archdeaconry, Cleveland",Induction,"of rector, mandate for",,,,,
43 v - 43 v,,Parchment,Latin,604,,"archdeaconry, Cleveland",Testament,,"Testamenta, p. 123",,,,
43 v - 43 v,,Parchment,Latin,605,,"archdeaconry, Cleveland",Institution,of chantry chaplain,,,,,
43 v - 43 v,,Parchment,Latin,606,,"archdeaconry, Cleveland",Induction,"of chantry chaplain, mandate for",,,,,
43 v - 43 v,,Parchment,Latin,607,,"archdeaconry, Cleveland",Institution,of chantry chaplain,,,,,
43 v - 43 v,,Parchment,Latin,608,,"archdeaconry, Cleveland",Induction,"of chantry chaplain, mandate for",,,,,
43 v - 43 v,,Parchment,Latin,609,,"archdeaconry, Cleveland",Institution,of rector (moiety),,,,,
43 v - 43 v,,Parchment,Latin,610,,"archdeaconry, Cleveland",Induction,"of rector (moiety), mandate for",,,,,
43 v - 43 v,,Parchment,Latin,611,,"archdeaconry, Cleveland",Induction,of rector,,,,,
43 v - 43 v,,Parchment,French;Latin,612,,"archdeaconry, Cleveland",Chastity,"vow of (two copies, French)",,,,,
43 v - 43 v,,Parchment,Latin,613,,"archdeaconry, Cleveland",Chastity,"vow of, note of taking",,,,,
43 v - 43 v,,Parchment,Latin,614,,"archdeaconry, Cleveland",Institution,of rector (moiety),,,,,
43 v - 43 v,,Parchment,Latin,615,,"archdeaconry, Cleveland",Induction,"of rector (moiety), mandate for",,,,,
44 r - 44 r,,Parchment,Latin,616,,"archdeaconry, Cleveland",Institution,of vicar,,,,,
44 r - 44 r,,Parchment,Latin,617,,"archdeaconry, Cleveland",Induction,"of vicar, mandate for",,,,,
44 r - 44 r,,Parchment,Latin,618,,"archdeaconry, Cleveland",Institution,of chantry chaplain,,,,,
44 r - 44 r,,Parchment,Latin,619,,"archdeaconry, Cleveland",Induction,"of chantry chaplain, mandate for",,,,,
44 r - 44 r,,Parchment,Latin,620,,"archdeaconry, Cleveland",Pension,"grant of, by prior and convent",,,,"Folio 45 r headed 'Cleveland', but entry refers to a similar letter rel to the archdeaconry of the East Riding to that in folio 44 v rel to archdeaconry of Cleveland",
44 v - 44 v,,Parchment,Latin,621,,"archdeaconry, Cleveland",Muster,"order to archdeacon of Cleveland to make return, and return (numbers of men per benefice/religious house, by deanery, only)",,,,,
45 r - 45 v,,Parchment,Latin,622,,"archdeaconry, East Riding",Muster,"order to archdeacon of the East Riding to return, and return (numbers of men per benefice/religious house, by deanery, only) ",,,,,
46 r - 46 r,,Parchment,Latin,623,,"archdeaconry, East Riding",Institution,of vicar,,,,,
46 r - 46 v,,Parchment,Latin,624,,"archdeaconry, East Riding",Induction,"of vicar, mandate for",,,,,
47 r - 47 v,,Parchment,Latin,625,,"archdeaconry, East Riding",Survey,"licence to, for religious house (plot for hospital/house and endowments) & suggested appropriation of church",,,,,
47 v - 48 r,,Parchment,Latin,626,,"archdeaconry, East Riding",Inquisition,"return, rel to survey (entry 605)",,,,,
48 r - 49 r,,Parchment,Latin,627,,"archdeaconry, East Riding",Institution,"of prior and convent, ratification for site of hospital/house and appropriation of church",,,,,
49 r - 49 v,,Parchment,Latin,628,,"archdeaconry, East Riding",Ordination/Ordinances,"for vicarage, and endowments",,,,,
50 r - 50 r,,Parchment,Latin,629,,"archdeaconry, East Riding",Inquisition,rel to suggestions for appropriation of church,,,,,
50 r - 50 r,,Parchment,Latin,630,,"archdeaconry, East Riding",Inquisition,return (rel to entry no. 609),,,,,
50 v - 50 v,,Parchment,Latin,631,,"archdeaconry, East Riding",Appropriation,of church to religious house,,,,,
51 r - 51 r,,Parchment,Latin,632,,"archdeaconry, East Riding",Ordination/Ordinances,"for vicarage, and endowments",,,,,
51 v - 51 v,,Parchment,Latin,633,,"archdeaconry, East Riding",Institution,of vicar,,,,,
51 A r - 51 A v,folio 51 A between folio 51 and folio 52,Parchment,Latin,634,,"archdeaconry, East Riding",Permission,"for king's receiver with exchequer, to go from Beverley to York",,,,,
52 r - 52 r,,Parchment,Latin,635,,"archdeaconry, East Riding",Institution,of rector,,,,,
52 r - 52 r,,Parchment,Latin,636,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
52 r - 52 r,,Parchment,Latin,637,,"archdeaconry, East Riding",Dispensation,for absence for three years,,,,,
52 r - 52 r,,Parchment,Latin,638,,"archdeaconry, East Riding",Institution,of rector,,,,,
52 r - 52 r,,Parchment,Latin,639,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
52 r - 52 r,,Parchment,Latin,640,,"archdeaconry, East Riding",Institution,of vicar,,,,,
52 r - 52 r,,Parchment,Latin,641,,"archdeaconry, East Riding",Induction,"of vicar, mandate for",,,,,
52 r - 52 r,,Parchment,Latin,642,,"archdeaconry, East Riding",Institution,of vicar,,,,,
52 r - 52 r,,Parchment,Latin,643,,"archdeaconry, East Riding",Induction,"of vicar, mandate for",,,,,
52 r - 52 r,,Parchment,Latin,644,,"archdeaconry, East Riding",Institution,of vicar,,,,,
52 r - 52 r,,Parchment,Latin,645,,"archdeaconry, East Riding",Induction,"of vicar, mandate for",,,,,
52 r - 52 r,,Parchment,Latin,646,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,
52 v - 52 v,,Parchment,Latin,647,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,
52 v - 52 v,,Parchment,Latin,648,,"archdeaconry, East Riding",Induction,"of chantry chaplain, mandate for",,,,,
52 v - 52 v,,Parchment,Latin,649,,"archdeaconry, East Riding",Churchyard/cemetery,"reconciliation of, commission for",,,,,
52 v - 52 v,,Parchment,Latin,650,,"archdeaconry, East Riding",Clerks,"committed before justices, commission to receive",,,,,
52 v - 52 v,,Parchment,Latin,651,,"archdeaconry, East Riding",Institution,of vicar,,,,,
52 v - 52 v,,Parchment,Latin,652,,"archdeaconry, East Riding",Absence,"licence for, for three years",,,,,
52 v - 52 v,,Parchment,Latin,653,,"archdeaconry, East Riding",Absence,"licence for, for two years",,,,,
52 v - 52 v,,Parchment,Latin,654,,"archdeaconry, East Riding",Absence,"licence for, for two years",,,,,
52 v - 52 v,,Parchment,Latin,655,,"archdeaconry, East Riding",Exchange,,,,,,
52 v - 52 v,,Parchment,Latin,656,,"archdeaconry, East Riding",Absence/Non-residence,"licence for, for three years, and not to attend synods",,,,,
53 r - 53 r,,Parchment,Latin,657,,"archdeaconry, East Riding",Institution,of rector,,,,,
53 r - 53 r,,Parchment,Latin,658,,"archdeaconry, East Riding",Institution,of rector,,,,,
53 r - 53 r,,Parchment,Latin,659,,"archdeaconry, East Riding",Institution,of rector,,,,,
53 r - 53 r,,Parchment,Latin,660,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
53 r - 53 v,,Parchment,Latin,661,,"archdeaconry, East Riding",Proctors,"appointment of, in cause rel to rectory???",,,,,
53 v - 53 v,,Parchment,Latin,662,,"archdeaconry, East Riding",Institution,of rector,,,,,
53 v - 53 v,,Parchment,Latin,663,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
53 v - 53 v,,Parchment,Latin,664,,"archdeaconry, East Riding",Induction,of rector,,,,,
53 v - 53 v,,Parchment,Latin,665,,"archdeaconry, East Riding",Institution,of rector,,,,,
53 v - 53 v,,Parchment,Latin,666,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
53 v - 53 v,,Parchment,Latin,667,,"archdeaconry, East Riding",Penance,"littera penitenciaria pro fratre Ricardo Chaumpeneys, for one year",,,,,
53 v - 53 v,,Parchment,Latin,668,,"archdeaconry, East Riding",Penance,"littera penitenciaria pro fratre Willelmo Clay, for one year",,,,,
53 v - 53 v,,Parchment,Latin,669,,"archdeaconry, East Riding",Collation,to vicarage,,,,,
53 v - 53 v,,Parchment,Latin,670,,"archdeaconry, East Riding",Induction,"of vicar, mandate for",,,,,
53 v - 53 v,,Parchment,Latin,671,,"archdeaconry, East Riding",Testament,,,Not found in Testamenta,,,
53 v - 53 v,,Parchment,Latin,672,,"archdeaconry, East Riding",Absence/Non-residence,"licence for, for three years",,,,,
54 r - 54 r,,Parchment,French;Latin,673,,"archdeaconry, East Riding",Chastity,"vow of, and note of taking vow",,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,674,,"archdeaconry, East Riding",Testament,,,Not found in Testamenta,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,675,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,676,,"archdeaconry, East Riding",Induction,"of chantry chaplain, mandate for",,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,677,,"archdeaconry, East Riding",Institution,of vicar,,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,678,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,679,,"archdeaconry, East Riding",Induction,"of chantry chaplain, mandate for",,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,680,,"archdeaconry, East Riding",Institution,of rector,,,,,Edge torn and flaking
54 r - 54 r,,Parchment,Latin,681,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,Edge torn and flaking
54 r - 54 v,,Parchment,Latin,682,,"archdeaconry, East Riding",Induction,of rector,,,,,Faint/Edge torn and flaking
54 v - 54 v,,Parchment,Latin,683,,"archdeaconry, East Riding",Study,"licence for absence, for three years, at a studium generale in England, for orders higher than subdeacon, under 'cum ex eo'",,,,,Faint/Edge torn and flaking
54 v - 54 v,,Parchment,Latin,684,,"archdeaconry, East Riding",Proctor,"for church, of religious house",,,,,Faint/Edge torn and flaking
54 v - 54 v,,Parchment,Latin,685,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,Faint/Edge torn and flaking
54 v - 54 v,,Parchment,Latin,686,,"archdeaconry, East Riding",Induction,"of chantry chaplain, mandate for",,,,,Faint/Edge torn and flaking
54 v - 54 v,,Parchment,Latin,687,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,Faint/Edge torn and flaking
54 v - 54 v,,Parchment,Latin,688,,"archdeaconry, East Riding",Induction,"of chantry chaplain, mandate for",,,,,Faint/Edge torn and flaking
54 v - 55 r,,Parchment,Latin,689,,"archdeaconry, East Riding",Contributions,"to parish church, of inhabitants, certification of ordination/declaration of Commissary",,,,,
55 r - 55 r,,Parchment,Latin,690,,"archdeaconry, East Riding",Institution,of vicar,,,,,
55 r - 55 r,,Parchment,Latin,691,,"archdeaconry, East Riding",Induction,"of vicar, mandate for",,,,,
55 r - 55 r,,Parchment,Latin,692,,"archdeaconry, East Riding",Enclosure,"of anchoress, in house near chapel, commission for",,,,,
55 r - 55 r,,Parchment,Latin,693,,"archdeaconry, East Riding",Absence,"licence for, for three years, and not to attend synods",,,,,
55 r - 55 r,,Parchment,Latin,694,,"archdeaconry, East Riding",Excommunication,signification to king to seize excommunicated rector,,,,,
55 r - 55 r,,Parchment,Latin,695,,"archdeaconry, East Riding",Procurations,warning to abbot and convent of,,,,,
55 r - 55 v,,Parchment,Latin,696,,"archdeaconry, East Riding",Surrender,of churches of abbot and convent,,,,,
55 v - 55 v,,Parchment,Latin,697,,"archdeaconry, East Riding",Institution,of chantry chaplain,,,,,
55 v - 55 v,,Parchment,Latin,698,,"archdeaconry, East Riding",Induction,"of chantry chaplain, mandate for",,,,,
55 v - 55 v,,Parchment,Latin,699,,"archdeaconry, East Riding",Testament,,,Not found in Testamenta,,,
55 v - 55 v,,Parchment,Latin,700,,"archdeaconry, East Riding",Penance/expiation,"for sins of the flesh, of clerk?",,,,,
55 v - 55 v,,Parchment,Latin,701,,"archdeaconry, East Riding",Institution,of rector,,,,,
55 v - 55 v,,Parchment,Latin,702,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
55 v - 55 v,,Parchment,Latin,703,,"archdeaconry, East Riding",Institution,of rector,,,,,
55 v - 55 v,,Parchment,Latin,704,,"archdeaconry, East Riding",Induction,"of rector, mandate for",,,,,
55 v - 55 v,,Parchment,Latin,705,,"archdeaconry, East Riding",Resignation,of rector,,,,,
55 v - 55 v,,Parchment,Latin,706,,"archdeaconry, East Riding",Resignation,of rector,,,,,
56 r - 56 r,,Parchment,Latin,707,,"archdeaconry, East Riding",Surrender,of appropriated churches of abbot and convent,,,,,
56 r - 56 r,,Parchment,Latin,708,,"archdeaconry, East Riding",Surrender, of churches of prior and convent,,,,,
56 r - 56 v,,Parchment,Latin,709,,"archdeaconry, East Riding",Surrender, of churches of prior and convent,,,,,
56 v - 56 v,,Parchment,Latin,710,,"archdeaconry, East Riding",Surrender,of churches of abbot and convent,,,,,
56 v - 56 v,,Parchment,Latin,711,,"archdeaconry, East Riding",Synod,licence not to attend?,,,,,
56 v - 56 v,,Parchment,Latin,712,,"archdeaconry, East Riding",Absence/Non-residence,"licence for, for three years",,,,,
56 v - 56 v,,Parchment,Latin,713,,"archdeaconry, East Riding",Absence,"licence for, during pleasure",,,,,
56 v - 57 r,,Parchment,Latin,714,,"archdeaconry, East Riding",Surrender,"abbot and convent, for appropriated churches",,,,,
57 r - 57 r,,Parchment,Latin,715,,"archdeaconry, East Riding",Testament,,"Testamenta, pp. 99-100",,,,
57 v - 57 v,,Parchment,Latin,716,,"archdeaconry, East Riding",Absence,"licence for, to visit Rome?",,,,,
57 v - 57 v,,Parchment,Latin,717,,"archdeaconry, East Riding",Testament,,"Testamenta, pp. 100-101",,,,
57 v - 57 v,,Parchment,Latin,718,,"archdeaconry, East Riding",Recognizance,for bond in £100???,,,,,
57 v - 57 v,,Parchment,Latin,719,,"archdeaconry, East Riding",Institution,of rector (moiety),,,,,
57 v - 57 v,,Parchment,Latin,720,,"archdeaconry, East Riding",Induction,"of rector (moiety), mandate for",,,,,
58 r - 58 r,,Parchment,Latin,721,,"archdeaconry, East Riding",Induction,of rector,,,,,
58 r - 58 r,,Parchment,Latin,722,,"archdeaconry, East Riding",Resignation,of vicarage (notarial instrument),,,,,
58 r - 58 r,,Parchment,Latin,723,,"archdeaconry, East Riding",Resignation,subscription to (see entry no. 699),,,,,
58 r - 58 r,,Parchment,Latin,724,,"archdeaconry, East Riding",Exchange,commission to expedite,,,,,
